,well_name,sample_name,st_assigned,st_pcat1,miscall,QC_coverage_1,st_pcat2,QC_coverage_2,well_reported,MLST
1,Pool_hung_A1,H1,18C,18B,0,100,18C,100,A1,113
2,Pool_hung_A10,H12,19F,19F,0,99.99,19B,62.42,A10,1875
3,Pool_hung_A11,H13,19F,19F,0,99.89,19B,62.76,A11,NF*
4,Pool_hung_A12,H14,23A,23A,0,99.54,23F,77.86,A12,42
5,Pool_hung_A2,H2,6B,06A,0,98.02,06B,97.53,A2,1262
6,Pool_hung_A3,H3,38,38,0,99.99,25A,96.08,A3,393
7,Pool_hung_A4,H4,19A - ST1611,19A,0,95.14,06E,54.89,A4,1611
8,Pool_hung_A5,H7,24F,24B,0,99.26,24F,99.13,A5,72
9,Pool_hung_A6,H8,24F,24F,0,100,24B,100,A6,72
10,Pool_hung_A7,H9,23B,24B,0,100,24F,99.89,A7,72
11,Pool_hung_A8,H10,23B,23B,0,99.99,24B,94.14,A8,439
12,Pool_hung_A9,H11,6A,06A,0,99.99,06B,94.43,A9,176
13,Pool_hung_B1,H16,10A,10A,0,99.99,23A,98.52,B1,1551
14,Pool_hung_B10,H28,38,38,0,99.99,25A,96.34,B10,393
15,Pool_hung_B11,H29,23B,23B,0,99.99,23F,74.87,B11,9867
16,Pool_hung_B12,H30,19F,19F,0,99.99,19B,62.06,B12,423
17,Pool_hung_B2,H17,21,21,0,99.99,22F,55,B2,432
18,Pool_hung_B3,H19,23A,23A,0,99.99,23F,84.85,B3,42
19,Pool_hung_B4,H20,23A,23A,0,99.99,23F,78.04,B4,42
20,Pool_hung_B5,H22,35B,35B,0,99.99,34,47.03,B5,558
21,Pool_hung_B6,H23,23A,23A,0,99.99,35B,99.99,B6,42
22,Pool_hung_B7,H25,15A,15A,0,99.99,15F,84.88,B7,3811
23,Pool_hung_B8,H26,22F,22F,0,99.99,22A,90.68,B8,433
24,Pool_hung_B9,H27,38,38,0,99.99,25A,96.42,B9,393
25,Pool_hung_C1,H31,21,21,0,99.99,22F,60.04,C1,432
26,Pool_hung_C10,H41,21,Failed,1,16.41,Failed,14.34,C10,NF*?
27,Pool_hung_C11,H43,38,38,0,99.99,25A,96.64,C11,393
28,Pool_hung_C12,H44,35F,35F,0,99.99,16F,94.24,C12,446
29,Pool_hung_C2,H32,23B ,23B,0,99.99,23F,73.51,C2,439
30,Pool_hung_C3,H34,16F,16F,0,99.99,28F,63.97,C3,30
31,Pool_hung_C4,H35,23A ,23A,0,99.99,23F,78.84,C4,4726
32,Pool_hung_C5,H36,31,31,0,99.48,41F,77.68,C5,1111
33,Pool_hung_C6,H37,18C,13,1,99.99,31,99.03,C6,574
34,Pool_hung_C7,H38,18C,18B,0,100,18C,100,C7,113
35,Pool_hung_C8,H39,16F,16F,0,99.99,28A,65.69,C8,30
36,Pool_hung_C9,H40,6A,Failed,1,27.29,Failed,26.61,C9,NF*?
37,Pool_hung_D1,H47,19A - ST8430,19A,0,99.99,06E,57.96,D1,8430
38,Pool_hung_D10,H58,6A,06B,0,99.99,06A,99.32,D10,681
39,Pool_hung_D11,H59,19A ST319,19A,0,94.62,06E,53.47,D11,319
40,Pool_hung_D12,H60,24F,24B,0,100,24F,99.89,D12,466
41,Pool_hung_D2,H48,35F,35F,0,99.99,47F,80.31,D2,446
42,Pool_hung_D3,H49,6B,06A,0,99.99,06B,96.43,D3,171
43,Pool_hung_D4,H51,9V,09N,0,99.94,09L,99.94,D4,66
44,Pool_hung_D5,H52,19A - ST8430,19A,0,99.99,06E,57.47,D5,8430
45,Pool_hung_D6,H53,9V,19A,0,99.99,09N,99.98,D6,NF?
46,Pool_hung_D7,H54,3,3,0,99.96,09N,76.76,D7,1377
47,Pool_hung_D8,H55,19A - ST8430,19A,0,99.99,19F,61.09,D8,8430
48,Pool_hung_D9,H56,21,21,0,97.93,22F,55.23,D9,1877
49,Pool_hung_E1,H61,23A,23A,0,99.99,23F,77.55,E1,338
50,Pool_hung_E10,H71,23A,23A,0,99.99,23F,79.52,E10,42
51,Pool_hung_E11,H72,19A - ST320,19A,0,99.99,06E,58.62,E11,320
52,Pool_hung_E12,H73,38,Failed,1,34.34,Failed,34.05,E12,NF?
53,Pool_hung_E2,H62,19A - ST1757,19A,0,93.42,06E,51.7,E2,1757
54,Pool_hung_E3,H63,24 F,Failed,1,16.12,Failed,13.7,E3,NF*?
55,Pool_hung_E4,H64,19A - ST97,10A,1,99.99,10B,94.31,E4,97
56,Pool_hung_E5,H65,19A ST319,19A,0,97.04,06E,55.29,E5,319
57,Pool_hung_E6,H66,1,1,0,99.99,19A,99.99,E6,failed
58,Pool_hung_E7,H67,1,1,0,99.99,19F,51.97,E7,failed
59,Pool_hung_E8,H69,28F,28F,0,99.99,28A,99.99,E8,2956
60,Pool_hung_E9,H70,22A,22A,0,94.62,22F,93.97,E9,NF
61,Pool_hung_F1,H74,3,3,0,99.98,36,33.4,F1,180
62,Pool_hung_F10,H88,31,11D,1,99.98,11A,99.97,F10,62
63,Pool_hung_F11,H90,10A,10A,0,99.99,10B,94.27,F11,1551
64,Pool_hung_F12,H91,11AD,11A,0,99.99,11D,99.99,F12,62
65,Pool_hung_F2,H75,34,34,0,99.99,35B,51.19,F2,4083
66,Pool_hung_F3,H78,15C,Failed,1,13.23,Failed,11.67,F3,NF*?
67,Pool_hung_F4,H79,15B,15C,0,99.99,15B,99.99,F4,839
68,Pool_hung_F5,H81,15C,15C,0,99.99,15B,99.99,F5,NF*
69,Pool_hung_F6,H82,11AD,15C,1,99.99,15B,99.99,F6,NA
70,Pool_hung_F7,H83,15B,24B,1,100,15C,99.99,F7,failed
71,Pool_hung_F8,H84,24FAB,24B,0,100,24F,99.87,F8,72
72,Pool_hung_F9,H86,,3,1*,99.96,11A,75.98,F9,180
73,Pool_hung_G1,H92,34,34,0,99.97,06C,55.61,G1,4083
74,Pool_hung_G10,H109,10A,10A,0,99.99,10B,94.27,G10,1551
75,Pool_hung_G11,H110,3,3,0,99.98,06A,64.16,G11,10511
76,Pool_hung_G12,H111,19F,06A,1,99.99,06B,94.08,G12,473
77,Pool_hung_G2,H93,23A,23A,0,99.99,23F,84.13,G2,42
78,Pool_hung_G3,H96,23F,06A,1,99.99,06C,93.59,G3,473
79,Pool_hung_G4,H97,23F,Failed,1,18.14,Failed,16.48,G4,NA
80,Pool_hung_G5,H100,31,31,0,99.93,41A,81.97,G5,1111
81,Pool_hung_G6,H104,6B,06A,0,99.99,31,99.59,G6,NF*
82,Pool_hung_G7,H105,23F,23F,0,99.99,23A,79.54,G7,failed
83,Pool_hung_G8,H107,19F,19F,0,99.99,19B,62.08,G8,651
84,Pool_hung_G9,H108,22F,22F,0,99.99,22A,90.85,G9,433
85,Pool_hung_H1,H112,10A,10A,0,99.99,10B,94.31,H1,1551
86,Pool_hung_H10,H124,15B,15C,0,99.99,15B,99.99,H10,199
87,Pool_hung_H11,H126,25 FA/38,38,0,99.99,25A,96.38,H11,failed
88,Pool_hung_H12,H127,23B,23B,0,98.08,23F,69.73,H12,439
89,Pool_hung_H2,H113,15A,15A,0,99.99,15F,80.44,H2,NF*
90,Pool_hung_H3,H114,15A,Failed,1,9.96,Failed,9.56,H3,NF*?
