ST,OSMANCARRN,SLEEMANCARRN,KENYACARRN,GAMBIAIPD,NORWAYCARR_PRE,NORWAYCARR_POST,TROTTERCARRN,CANADAIPD_POST,MASSCARR01,DUTCHCARRN,NORWAYIPD_ADULT_POST,NORWAYIPD_ADULT_PRE,NORWAYIPD_KID_PRE,KENYAIPD,BRUEGCARRN,HPA0809_OVER5,HPA0506_OVER5,HPA0506_UNDER5,HPA0809_UNDER5,MASSCARR04,MASSCARR07,MASSCARR09,GREECECARRN,SLEEMAN_IPDN,MEANFITCT2,CFRHARBOE,OVERALLMORCH,TOTALCARBONREPEAT,FINLANDADULTS,FINLANDKID,BRANDILEONEOVER10,SAHANONMENINGITIS,SAHAMENINGITIS,BRANDILEONEINC,TAUNAYIPD,BULLOWAIPDKIDINC,BULLOWAIPDADULTINC,SURFACEKILL,ATTACKRATESLEEMAN,attackreatesleeman
1,13,0,0,27,8,8,0,5,0,1,68,100,5,114,1,465,557,45,55,0,0,0,3,33,427.5,7,793,20.60000038,681,118,100,,,169,201,166,861,0.809000015,100,
2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,625.2999878,14.30000019,203,36,304,9,1,0,23,12,12,18,293,,,
3,34,15,2,0,24,26,4,37,2,36,60,38,2,10,18,376,241,15,25,6,2,2,17,18,707,31,729,12,340,6,46,1,0,76,79,38,384,,9,
4,13,2,3,3,3,3,0,,2,6,,146,4,26,1,135,280,18,4,0,0,0,0,24,241.1000061,16,187,33,47,4,17,0,2,43,53,52,217,0.349999994,75,
5,1,0,0,37,0,0,0,18,0,1,0,0,0,54,0,28,0,0,7,0,0,0,0,7,357.1000061,12,181,36,196,19,18,5,3,74,90,54,290,0.460000008,100,
6A/C,236,25,20,46,56,49,82,26,27,40,40,26,3.5,54,21,230,137,27,21,23,32,36,54,34,543.2999878,21,350,23,31,8,28,1,3,88,91,96,62,0.970000029,8,
6B,184,90,21,9,67,32,186,,14,69,,36,15,64,64,112,140,77,8,5,2,0,127,62,657.2000122,19,335,23,,,20,1,3,108,120,,,1.059999943,5,
7A,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,,,1,42,132,2,,,,,,25,290,,,
7B,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,19,38,,,,,,,3,,,,,
7C,23,0,2,0,0,0,0,1,0,,0,0,0,1,0,0,1,2,1,0,2,3,1,0,,,9,,,,,,,,7,,,,,
7F,1,3,0,0,6,10,2,0,0,10,76,67,4.5,4,1,449,227,22,72,2,9,10,14,23,414.1000061,10,253,48,,,21,1,7,49,51,,,0.930000007,36,
8,2,5,0,0,2,5,0,1,0,21,21,14,0,3,5,371,302,12,13,0,0,0,4,19,627.0999756,15,169,24,167,4,21,0,1,31,32,21,292,,30,
9A,0.5,0,0,2,0,0,0,0,4,0,0,0,0,5,0,0,2,0,0,1,1,0,0,7,,11.10000038,0,32,,,,,,,,,,,100,
9L,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,4,34,,,,,,,,,,,,
9N,0.5,8,0,0,0,8,4,4,2,2,34,14,0,1,6,104,89,2,3,0,2,2,7,7,415.2000122,25,99,34,32,3,13,,,30,29,14,84,1,5,
9V,51,10,8,8,25,0,11,,0,14,,71.5,2.5,9,11,138,296,26,2,1,0,0,13,46,442.7999878,18,130,34,,,9,0,1,31,36,,,0.920000017,26,
10A,56,10,3,0,4,12,1,10,0,18,14,6.5,0,2,5,34,18,1,7,7,8,12,16,4,502.3999939,28,101,43,,,13,0,2,33,20,,,,3,
10F,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,0,0,0,0,0,0,,,35,37,38,2,,1,0,,1,7,25,,,
11A,90,13,8,0,25,21,25,7,10,31,17,9,0,4,9,104,49,0,8,18,24,19,33,2,534.0999756,39,80,31,,,3,,,13,12,,,1.460000038,1,
11B,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,24,33.79999924,,,,,,,,,,,,
11C,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,,,0,31,,,,,,,,,,,,
11F,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,14,35,29,4,,,,,,10,20,,,
12A,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25.70000076,0,44,,,,0,6,,1,,,,,
12F,4,2,0,0,0,0,0,1,0,1,6,13,0,8,2,139,108,1,9,0,0,0,0,12,559.7999878,18,74,42,39,4,30,0,1,48,36,1,46,,38,
13,49,1,6,0,0,0,0,0,0,0,0,0,0,6,1,7,4,0,2,0,0,1,0,0,,20.70000076,70,33,13,0,10,,,17,19,7,36,,0.5,
14,85,28,9,32,18,1,58,,7,23,,110,32,76,21,146,487,156,5,2,0,1,46,235,345.7999878,18,279,26,52,15,9,4,5,99,134,155,118,1.019999981,53,
15A,49,3,5,0,0,2,0,4,1,0,0,0,0,5,3,22,9,0,4,14,13,9,16,0,,27.89999962,86,35,,,,1,0,,5,,,,0.5,
15B,54,15,3,0,31,31,4,11,5,19,13,4.5,0.5,2,8,50,17,2,9,19,31,25,31,4,,28,28,33.40000153,,,11,1,0,20,15,,,,1,
15C,43,15,4,0,26,48,11,15,5,0,,,,2,8,29,11,3,14,0,0,0,0,0,,17,0,32,,,,,,,4,,,,1,
15F,0.5,,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,,,6,,7,0,,,,,,,,,,
16,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,
16F,34,4,5,0,4,18,2,1,0,12,14,8,0,3,5,43,22,0,2,2,8,3,0,5,,32,57,37,4,1,11,1,0,23,11,14,24,,6,
17A,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,50,,,,,,,,,,,,
17F,3,4,3,0,0,2,0,1,0,0,0,0,0,0,6,24,13,1,2,1,4,3,0,0,,34,85,45,19,2,14,,,23,14,11,26,,0.5,
18A,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,,,36,35,,,7,0,1,18,16,,,,,
18B,0.5,1,0,0,0,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,,,14,33,,,,,,,4,,,,0.5,
18C,29,14,2,3,18,6,12,,4,17,,23,4,21,9,80,93,49,7,2,0,0,19,49,703.5,15,129,30.60000038,,,26,1,4,82,53,,,0.819999993,24,
18F,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,32,37,38,1,,0,3,,1,19,80,,,
19A,53,15,4,19,11,9,18,66,9,19,30,10.5,0.5,30,11,332,142,26,64,25,47,42,24,47,550.5,26,189,20,,,8,3,1,29,22,,,1.159999967,20,
19B,25,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,5,34,,,,,,,1,,,,,
19C,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,7,34,,,,,,,1,,,,,
19F,284,74,34,6,58,43,92,,13,68,,27.5,3.5,30,50,104,126,68,14,20,7,4,91,66,845.2999878,27,412,20,19,4,17,2,1,63,50,51,56,1.700000048,6,
20,21,4,3,0,0,1,0,1,0,0,0,0,0,0,3,51,15,3,2,0,0,0,5,4,,21,50,42,36,4,7,0,2,20,19,7,42,,4,
21,18,10,0,0,12,22,4,1,0,0,0,0,0,1,11,10,1,0,5,1,1,5,7,0,,,62,,9,1,,0,1,,5,15,18,,0.5,
22A,3,,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,,,8,,,,,,,,,,,,,
22F,3,8,0,0,3,11,11,20,5,0,47,32.5,0.5,0,5,386,102,6,27,9,7,10,7,0,,20,56,37.59999847,10,0,,,,,3,8,25,,0.5,
23A,19,9,2,0,12,11,9,1,2,16,13,10,0,0,5,71,44,3,2,13,20,29,20,0,,28,31,,,,,2,0,,5,,,,0.5,
23B,70,1,11,3,0,0,0,4,2,0,0,0,0,2,1,18,5,1,6,6,16,21,5,0,,,5,,,1,7,0,1,18,11,,,,0.5,
23F,116,45,20,16,53,32,88,,14,53,,53.5,4.5,50,41,128,250,45,4,4,1,0,97,54,652.4000244,23,183,27,2,0,19,2,2,69,52,15,14,1.450000048,8,
24A,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8,,,,,,,,,,,,,
24B,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,
24B,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,
24F,4,,0,0,2,23,0,0,0,0,0,0,0,3,2,17,7,1,2,0,0,0,9,0,,23,20,,0,0,,1,1,,10,,,,,
25,0.5,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,,,13,,,,,,,,5,,,,,
27,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,2,6,0,0,0,0,0,,,33,29,,,,,,,,,5,,,
28A,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,0,0,0,0,0,0,,,0,,,,8,,,,,,,,,
28F,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,11,,0,0,,,,15,3,,,,,
29,3,0,3,0,0,0,0,0,0,0,0,0,0,7,0,4,5,0,0,0,0,0,0,0,,,39,31,4,0,4,0,2,13,13,14,14,,,
31,1,1,0,0,2,3,1,1,2,0,0,0,0,0,1,36,22,1,0,1,3,3,0,0,,44,39,30,3,0,,,,,5,1,7,,0.5,
32A,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,26,,,,,,,,,,,,
32F,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8,26,3,0,,,,,,2,8,,,
33A,0.5,,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,17,,,,,,,,,,,,,
33B,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,39,,,,0,1,,,,,,,
33F,7,7,0,0,8,18,0,5,0,0,29,12,0,0,5,101,43,5,21,2,1,3,10,0,,17,34,36.79999924,,,,1,1,,,,,,0.5,
34,38,0,3,0,6,1,0,3,2,0,0,0,0,1,0,11,4,1,0,3,2,7,0,0,,32.5,63,30,,,14,,,22,,,,,,
35A,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,,,23,30,,,,0,1,,3,,,,,
35B,84,0,5,0,9,29,4,3,4,0,9,1.5,0,5,0,13,7,0,3,18,27,20,0,0,523,20.79999924,29,32.40000153,,,,,,,3,,,,,
35F,7,4,0,0,7,37,15,6,2,0,13,9,0,0,3,34,0,2,3,7,9,10,0,2,,35,26,,,,,1,0,,1,,,,4,
37,0.5,1,2,0,4,1,0,0,0,0,0,0,0,0,1,8,1,0,0,1,1,0,0,0,,,21,12,,,,,,,3,,,,0.5,
38,8,3,0,0,9,13,0,13,0,12,0,0,0,0,4,50,17,1,5,0,0,0,0,5,,18,25,,,,10,2,0,17,18,,,,,
42,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,,,,,,,,,,,,,
43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,45,,,,4,5,,,,,,,
36,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,,,,,,,,,,,
39,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,
40,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,
